auction_number,auction_date,current_offered,current_sold,current_settlement_price_usd,advance_offered,advance_sold,advance_settlement_price_usd
1,2014-11-15,23070987,23070987,12.1,10787000,10787000,11.86
2,2015-02-15,73610528,73610528,12.21,10431500,10431500,12.1
3,2015-05-15,76931627,76931627,12.29,10431500,9812000,12.1
4,2015-08-15,73429360,73429360,12.52,10431500,10431500,12.3
5,2015-11-15,75113008,75113008,12.73,10431500,10431500,12.65
6,2016-02-15,71555827,68026000,12.73,10078750,9361000,12.73
7,2016-05-15,67675951,7260000,12.73,10078750,914000,12.73
8,2016-08-15,86278410,30021000,12.73,10078750,769000,12.73
9,2016-11-15,87069495,76960000,12.73,10078750,1020000,12.73
10,2017-02-15,65104273,11673000,13.57,9723500,701000,13.57
11,2017-05-15,75311960,75311960,13.8,9723500,2117000,13.57
12,2017-08-15,63887833,63887833,14.75,9723500,9723500,14.55
13,2017-11-15,79548286,79548286,15.06,9723500,9723500,14.76
14,2018-02-15,98215920,98215920,14.61,12427950,8576000,14.53
15,2018-05-15,90587738,90587738,14.65,12427950,6057000,14.53
16,2018-08-15,79421265,79421265,15.05,9401500,9401500,14.9
17,2018-11-15,78825717,78825717,15.31,9401500,9401500,15.33
18,2019-02-15,80847404,80847404,15.73,9038000,5983000,15.62
19,2019-05-15,66321122,66321122,17.45,9038000,9038000,17.4
20,2019-08-15,66289515,66289515,17.16,9038000,9038000,16.85
21,2019-11-15,67435661,67435661,17.0,9038000,9038000,16.8
22,2020-02-15,57090077,57090077,17.87,8672250,8672250,18.0
23,2020-05-15,57540731,21161000,16.68,8672250,1763000,16.68
24,2020-08-15,59250484,52627000,16.68,8672250,8672250,16.73
25,2020-11-15,56366432,56366432,16.93,8672250,8672250,17.35
26,2021-02-15,54773607,54773607,17.8,8306250,8306250,18.01
27,2021-05-15,71647138,71647138,18.8,8306250,8306250,19.04
28,2021-08-15,71261536,71261536,23.3,8306250,8306250,23.69
29,2021-11-15,68598217,68598217,28.26,8306250,8306250,34.01
30,2022-02-15,58527697,58527697,29.15,7942750,7079000,19.7
31,2022-05-15,58331300,58331300,30.85,7942750,7942750,28.13
32,2022-08-15,56956085,56956085,27.0,7942750,7942750,30.0
33,2022-11-15,58020854,58020854,26.8,7942750,7942750,26.0
34,2023-02-15,56395720,56395720,27.85,7577000,7577000,27.01
35,2023-05-15,56084237,56084237,30.33,7577000,7577000,30.05
36,2023-08-15,55760384,55760384,35.2,7577000,7577000,34.16
37,2023-11-15,57617565,57617565,38.73,7577000,7577000,37.4
38,2024-02-15,51216056,51216056,41.76,7211000,7211000,41.0
39,2024-05-15,51589488,51589488,37.02,7211000,7211000,38.35
40,2024-08-15,51179715,51179715,30.24,7211000,7211000,29.75
41,2024-11-15,52629612,52629612,31.91,7211000,7211000,30.16
42,2025-02-15,51466028,51466028,29.27,6847750,6847750,28.0
43,2025-05-15,51069285,43865000,25.87,6847750,6847750,26.15
44,2025-08-15,51883970,51883970,28.76,6847750,6847750,28.5
45,2025-11-15,51253305,51253305,28.32,6847750,6847750,29.61
46,2026-02-15,54975757,54975757,27.94,6481750,6263000,27.94
